epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.1266,4.53548,0.13,0.315,4.18359,3.16596e-05,3.16596e-05,3.16596e-05
2,47.2822,3.39106,0.605,0.815,2.40918,6.31344e-05,6.31344e-05,6.31344e-05
3,66.6329,1.69855,0.785,0.9,0.95227,9.40812e-05,9.40812e-05,9.40812e-05
4,85.8368,0.69207,0.875,0.93,0.62653,9.3624e-05,9.3624e-05,9.3624e-05
5,105.05,0.32055,0.87,0.935,0.50339,9.2832e-05,9.2832e-05,9.2832e-05
6,124.236,0.19848,0.88,0.945,0.78894,9.204e-05,9.204e-05,9.204e-05
7,143.514,0.13188,0.895,0.94,0.64026,9.1248e-05,9.1248e-05,9.1248e-05
8,162.801,0.10679,0.905,0.94,0.42923,9.0456e-05,9.0456e-05,9.0456e-05
9,181.983,0.06907,0.91,0.935,0.41288,8.9664e-05,8.9664e-05,8.9664e-05
10,201.115,0.06364,0.9,0.95,0.4693,8.8872e-05,8.8872e-05,8.8872e-05
11,220.28,0.06184,0.905,0.95,0.36667,8.808e-05,8.808e-05,8.808e-05
12,239.488,0.06261,0.905,0.95,0.52808,8.7288e-05,8.7288e-05,8.7288e-05
13,258.612,0.04152,0.905,0.945,0.65732,8.6496e-05,8.6496e-05,8.6496e-05
14,277.684,0.04438,0.915,0.945,0.39221,8.5704e-05,8.5704e-05,8.5704e-05
15,296.832,0.03904,0.92,0.95,0.37288,8.4912e-05,8.4912e-05,8.4912e-05
16,316.08,0.03457,0.905,0.945,0.53101,8.412e-05,8.412e-05,8.412e-05
17,335.26,0.03622,0.915,0.945,0.4801,8.3328e-05,8.3328e-05,8.3328e-05
18,354.42,0.0326,0.905,0.945,0.41106,8.2536e-05,8.2536e-05,8.2536e-05
19,373.591,0.02889,0.91,0.945,0.61322,8.1744e-05,8.1744e-05,8.1744e-05
20,392.769,0.02377,0.905,0.945,0.60236,8.0952e-05,8.0952e-05,8.0952e-05
21,411.925,0.02251,0.91,0.945,0.49847,8.016e-05,8.016e-05,8.016e-05
22,431.075,0.02126,0.9,0.945,0.6698,7.9368e-05,7.9368e-05,7.9368e-05
23,450.283,0.01982,0.9,0.945,0.46283,7.8576e-05,7.8576e-05,7.8576e-05
24,469.46,0.02366,0.92,0.945,0.44598,7.7784e-05,7.7784e-05,7.7784e-05
25,488.588,0.02514,0.925,0.95,0.39528,7.6992e-05,7.6992e-05,7.6992e-05
26,507.763,0.02061,0.925,0.95,0.45749,7.62e-05,7.62e-05,7.62e-05
27,527.026,0.03091,0.92,0.945,0.59277,7.5408e-05,7.5408e-05,7.5408e-05
28,546.15,0.02663,0.92,0.945,0.45239,7.4616e-05,7.4616e-05,7.4616e-05
29,565.307,0.01936,0.92,0.95,0.51508,7.3824e-05,7.3824e-05,7.3824e-05
30,584.219,0.01827,0.925,0.94,0.58014,7.3032e-05,7.3032e-05,7.3032e-05
31,603.186,0.01426,0.915,0.94,0.42803,7.224e-05,7.224e-05,7.224e-05
32,622.072,0.01554,0.91,0.945,0.43848,7.1448e-05,7.1448e-05,7.1448e-05
33,641.015,0.01489,0.92,0.945,0.42261,7.0656e-05,7.0656e-05,7.0656e-05
34,659.979,0.00991,0.92,0.95,0.72247,6.9864e-05,6.9864e-05,6.9864e-05
35,678.927,0.01107,0.915,0.945,0.53156,6.9072e-05,6.9072e-05,6.9072e-05
36,697.9,0.01138,0.91,0.94,0.60651,6.828e-05,6.828e-05,6.828e-05
37,716.858,0.01506,0.915,0.94,0.715,6.7488e-05,6.7488e-05,6.7488e-05
38,735.864,0.01355,0.925,0.94,0.63464,6.6696e-05,6.6696e-05,6.6696e-05
39,754.793,0.0103,0.905,0.94,0.3823,6.5904e-05,6.5904e-05,6.5904e-05
40,773.737,0.0148,0.915,0.95,0.46802,6.5112e-05,6.5112e-05,6.5112e-05
41,792.68,0.0089,0.905,0.945,0.68042,6.432e-05,6.432e-05,6.432e-05
42,811.596,0.0139,0.915,0.935,0.74048,6.3528e-05,6.3528e-05,6.3528e-05
43,830.484,0.00929,0.915,0.945,0.79135,6.2736e-05,6.2736e-05,6.2736e-05
44,849.408,0.01305,0.92,0.945,0.41982,6.1944e-05,6.1944e-05,6.1944e-05
45,868.365,0.01132,0.92,0.945,0.66711,6.1152e-05,6.1152e-05,6.1152e-05
