epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,151.58,7.91669,0.03813,0.08381,7.32117,0.00332785,0.00332785,0.00332785
2,291.222,6.10628,0.2786,0.49227,3.99816,0.00652929,0.00652929,0.00652929
3,419.907,3.68986,0.3196,0.5473,3.61097,0.00959873,0.00959873,0.00959873
4,548.239,2.98072,0.45917,0.68777,2.75452,0.009406,0.009406,0.009406
5,676.584,2.21166,0.55036,0.75719,2.27007,0.009208,0.009208,0.009208
6,804.505,1.76188,0.55216,0.75935,2.31406,0.00901,0.00901,0.00901
7,932.784,1.4579,0.60162,0.79137,2.08727,0.008812,0.008812,0.008812
8,1061.18,1.24746,0.63471,0.81151,1.97808,0.008614,0.008614,0.008614
9,1189.28,1.07907,0.63507,0.80665,2.00349,0.008416,0.008416,0.008416
10,1317.38,0.94622,0.65665,0.82392,1.91528,0.008218,0.008218,0.008218
11,1445.54,0.83973,0.6777,0.83201,1.89607,0.00802,0.00802,0.00802
12,1573.48,0.73888,0.68939,0.83795,1.80419,0.007822,0.007822,0.007822
13,17069.6,0.66953,0.70036,0.83867,1.81352,0.007624,0.007624,0.007624
14,17193.1,0.58514,0.69928,0.84514,1.80704,0.007426,0.007426,0.007426
15,17317.1,0.52267,0.71511,0.85432,1.71846,0.007228,0.007228,0.007228
16,17441.8,0.46601,0.71709,0.85396,1.71134,0.00703,0.00703,0.00703
17,17566.2,0.40572,0.73094,0.85629,1.66798,0.006832,0.006832,0.006832
18,17690.7,0.38218,0.74047,0.85665,1.6413,0.006634,0.006634,0.006634
19,17815,0.31594,0.74514,0.86043,1.618,0.006436,0.006436,0.006436
20,17939.8,0.27828,0.75198,0.85971,1.6322,0.006238,0.006238,0.006238
21,18064.3,0.2592,0.75522,0.86313,1.56068,0.00604,0.00604,0.00604
22,18188.7,0.24166,0.75899,0.86097,1.57103,0.005842,0.005842,0.005842
23,18312.9,0.20556,0.75971,0.86673,1.54781,0.005644,0.005644,0.005644
24,18437.5,0.19402,0.76025,0.86619,1.5481,0.005446,0.005446,0.005446
25,18561.9,0.1717,0.76277,0.86583,1.5376,0.005248,0.005248,0.005248
26,18686.6,0.14954,0.76906,0.8696,1.51667,0.00505,0.00505,0.00505
27,18811.1,0.14615,0.76349,0.86763,1.54356,0.004852,0.004852,0.004852
28,18935.5,0.13611,0.77302,0.8705,1.49083,0.004654,0.004654,0.004654
29,19059.9,0.12817,0.77842,0.87356,1.47286,0.004456,0.004456,0.004456
30,19184.1,0.11936,0.7786,0.87302,1.4835,0.004258,0.004258,0.004258
31,19308.4,0.10605,0.77914,0.8732,1.48175,0.00406,0.00406,0.00406
32,19432.8,0.09715,0.77824,0.87122,1.48382,0.003862,0.003862,0.003862
33,19557.3,0.08385,0.78076,0.875,1.45837,0.003664,0.003664,0.003664
34,19681.7,0.08324,0.78417,0.87518,1.45382,0.003466,0.003466,0.003466
35,19806,0.0691,0.78435,0.87716,1.45433,0.003268,0.003268,0.003268
36,19930.6,0.06475,0.78201,0.87608,1.45007,0.00307,0.00307,0.00307
37,20056.1,0.05793,0.78507,0.87932,1.43752,0.002872,0.002872,0.002872
38,20192,0.05493,0.78453,0.88004,1.42891,0.002674,0.002674,0.002674
39,20331,0.05372,0.78957,0.8786,1.42412,0.002476,0.002476,0.002476
40,20469.7,0.04863,0.78795,0.87788,1.41426,0.002278,0.002278,0.002278
41,20741.9,0.04023,0.78903,0.87734,1.41203,0.00208,0.00208,0.00208
42,20878.2,0.03845,0.79173,0.87752,1.40907,0.001882,0.001882,0.001882
43,21004.3,0.03673,0.79155,0.87842,1.40803,0.001684,0.001684,0.001684
44,21130,0.03503,0.79245,0.88022,1.40702,0.001486,0.001486,0.001486
45,21255.2,0.03396,0.79191,0.88094,1.40662,0.001288,0.001288,0.001288
46,21378.8,0.03163,0.79335,0.88076,1.40385,0.00109,0.00109,0.00109
47,21502.4,0.02834,0.79317,0.8804,1.40206,0.000892,0.000892,0.000892
48,21625.9,0.02459,0.79281,0.88129,1.40386,0.000694,0.000694,0.000694
49,21749,0.02641,0.79317,0.88201,1.40261,0.000496,0.000496,0.000496
50,21872.5,0.02479,0.79335,0.88273,1.40273,0.000298,0.000298,0.000298
