epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,92.649,5.29166,0.45346,0.6778,2.99609,0.00332485,0.00332485,0.00332485
2,174.577,1.54923,0.68138,0.858,1.43673,0.00660325,0.00660325,0.00660325
3,250.724,0.7196,0.61695,0.81026,1.94622,0.00982666,0.00982666,0.00982666
4,326.996,0.80391,0.62172,0.80788,2.12514,0.0097525,0.0097525,0.0097525
5,402.984,0.65817,0.67542,0.8401,1.77665,0.00967,0.00967,0.00967
6,479.081,0.48135,0.72076,0.86993,1.73022,0.0095875,0.0095875,0.0095875
7,555.211,0.38938,0.72434,0.86635,1.65716,0.009505,0.009505,0.009505
8,633.925,0.29364,0.62291,0.79714,2.48096,0.0094225,0.0094225,0.0094225
9,710.201,0.20314,0.72434,0.85919,1.75101,0.00934,0.00934,0.00934
10,786.552,0.18606,0.7673,0.88305,1.36268,0.0092575,0.0092575,0.0092575
11,862.766,0.16101,0.78998,0.89379,1.35748,0.009175,0.009175,0.009175
12,939.292,0.15527,0.77566,0.88305,1.63634,0.0090925,0.0090925,0.0090925
13,1015.51,0.13017,0.77804,0.89857,1.3814,0.00901,0.00901,0.00901
14,1091.67,0.12586,0.77804,0.88305,1.44751,0.0089275,0.0089275,0.0089275
15,1167.77,0.11789,0.77446,0.88902,1.5219,0.008845,0.008845,0.008845
16,1244.13,0.09486,0.7685,0.88186,1.37444,0.0087625,0.0087625,0.0087625
17,1320.46,0.09363,0.8031,0.89379,1.46307,0.00868,0.00868,0.00868
18,1396.62,0.07927,0.7864,0.90334,1.2906,0.0085975,0.0085975,0.0085975
19,1472.62,0.06651,0.79833,0.89857,1.23689,0.008515,0.008515,0.008515
20,1548.74,0.0791,0.79475,0.90095,1.27192,0.0084325,0.0084325,0.0084325
21,1624.68,0.0736,0.78759,0.90453,1.31698,0.00835,0.00835,0.00835
22,1700.81,0.06643,0.8031,0.90931,1.24784,0.0082675,0.0082675,0.0082675
23,1776.88,0.06498,0.80549,0.91289,1.2127,0.008185,0.008185,0.008185
24,1853.06,0.0623,0.80191,0.90215,1.36509,0.0081025,0.0081025,0.0081025
25,1929.14,0.06441,0.80668,0.90215,1.33583,0.00802,0.00802,0.00802
26,2005.13,0.05975,0.81742,0.91647,1.15775,0.0079375,0.0079375,0.0079375
27,2081.26,0.0517,0.81265,0.91289,1.35383,0.007855,0.007855,0.007855
28,2157.77,0.05186,0.81026,0.9105,1.19474,0.0077725,0.0077725,0.0077725
29,2233.89,0.04962,0.81623,0.91169,1.11598,0.00769,0.00769,0.00769
30,2309.88,0.04444,0.81504,0.90334,1.2206,0.0076075,0.0076075,0.0076075
31,2385.87,0.04084,0.82936,0.90215,1.11091,0.007525,0.007525,0.007525
32,2462.3,0.04056,0.81862,0.90573,1.23047,0.0074425,0.0074425,0.0074425
33,2538.56,0.04447,0.83771,0.91408,1.07708,0.00736,0.00736,0.00736
34,2614.87,0.04305,0.81981,0.90334,1.07969,0.0072775,0.0072775,0.0072775
35,2690.98,0.0385,0.81504,0.90453,1.30842,0.007195,0.007195,0.007195
36,2766.99,0.0386,0.8222,0.90692,1.28205,0.0071125,0.0071125,0.0071125
37,2843,0.03811,0.82697,0.90931,1.2772,0.00703,0.00703,0.00703
38,2919.22,0.03702,0.84606,0.9105,1.06071,0.0069475,0.0069475,0.0069475
39,2995.41,0.03955,0.82816,0.91766,1.30219,0.006865,0.006865,0.006865
40,3071.86,0.03649,0.82936,0.91766,1.22893,0.0067825,0.0067825,0.0067825
41,3148.09,0.04002,0.8389,0.91527,1.19059,0.0067,0.0067,0.0067
42,3224.22,0.03443,0.83652,0.91289,1.01733,0.0066175,0.0066175,0.0066175
43,3300.48,0.04141,0.81862,0.91289,1.06676,0.006535,0.006535,0.006535
44,3376.88,0.03492,0.82458,0.91408,1.05413,0.0064525,0.0064525,0.0064525
45,3453.11,0.0404,0.82816,0.90931,1.18464,0.00637,0.00637,0.00637
46,3529.41,0.03195,0.82936,0.91169,1.02814,0.0062875,0.0062875,0.0062875
47,3605.74,0.03073,0.83174,0.91647,1.0941,0.006205,0.006205,0.006205
48,3682.18,0.03062,0.83532,0.91647,1.04079,0.0061225,0.0061225,0.0061225
49,3758.3,0.03049,0.84129,0.91766,0.98539,0.00604,0.00604,0.00604
50,3834.58,0.0305,0.83532,0.91647,0.98443,0.0059575,0.0059575,0.0059575
51,3910.81,0.02639,0.84368,0.91885,0.98079,0.005875,0.005875,0.005875
52,3987.28,0.02502,0.83771,0.91408,1.1405,0.0057925,0.0057925,0.0057925
53,4063.72,0.01971,0.83532,0.91527,0.9815,0.00571,0.00571,0.00571
54,4140.12,0.02398,0.83771,0.91885,1.0192,0.0056275,0.0056275,0.0056275
55,4217.21,0.02265,0.83652,0.91408,1.0207,0.005545,0.005545,0.005545
56,4295.17,0.02512,0.8389,0.91885,1.07739,0.0054625,0.0054625,0.0054625
57,4372.55,0.02276,0.84248,0.91766,1.20473,0.00538,0.00538,0.00538
58,4449.38,0.02129,0.84368,0.91766,0.97216,0.0052975,0.0052975,0.0052975
59,4525.67,0.01977,0.84368,0.91289,0.96671,0.005215,0.005215,0.005215
60,4601.87,0.02076,0.84248,0.91766,1.06316,0.0051325,0.0051325,0.0051325
61,4678.09,0.01728,0.8401,0.91766,1.04257,0.00505,0.00505,0.00505
62,4754.23,0.0141,0.8401,0.91766,1.0498,0.0049675,0.0049675,0.0049675
63,4830.47,0.01557,0.84129,0.91408,1.29191,0.004885,0.004885,0.004885
64,4906.59,0.0175,0.84368,0.91647,1.00166,0.0048025,0.0048025,0.0048025
65,4982.65,0.01675,0.84368,0.91408,1.09441,0.00472,0.00472,0.00472
66,5058.73,0.01642,0.84606,0.91169,1.12572,0.0046375,0.0046375,0.0046375
67,5134.83,0.01321,0.84487,0.91169,0.95622,0.004555,0.004555,0.004555
68,5211.11,0.01778,0.84487,0.91527,0.97307,0.0044725,0.0044725,0.0044725
69,5287.09,0.0162,0.84726,0.91527,1.19141,0.00439,0.00439,0.00439
70,5363.4,0.01437,0.84368,0.91408,0.94171,0.0043075,0.0043075,0.0043075
71,5439.57,0.01048,0.84726,0.91408,1.06463,0.004225,0.004225,0.004225
