epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,24.5233,4.53579,0.18282,0.39488,4.06402,3.18201e-05,3.18201e-05,3.18201e-05
2,40.6304,3.57813,0.77697,0.89762,2.65668,6.28832e-05,6.28832e-05,6.28832e-05
3,55.3287,2.11313,0.92322,0.97075,0.96842,9.26659e-05,9.26659e-05,9.26659e-05
4,69.791,0.88058,0.9543,0.98903,0.35227,9.12382e-05,9.12382e-05,9.12382e-05
5,84.2882,0.41002,0.97258,0.98903,0.21672,8.93176e-05,8.93176e-05,8.93176e-05
6,98.9364,0.24213,0.97441,0.98903,0.1803,8.7397e-05,8.7397e-05,8.7397e-05
7,113.594,0.1633,0.98355,0.9872,0.15068,8.54764e-05,8.54764e-05,8.54764e-05
8,128.173,0.12128,0.97806,0.99086,0.13818,8.35558e-05,8.35558e-05,8.35558e-05
9,142.544,0.09132,0.97623,0.9872,0.12586,8.16352e-05,8.16352e-05,8.16352e-05
10,157.254,0.08007,0.97806,0.9872,0.12772,7.97146e-05,7.97146e-05,7.97146e-05
11,172.17,0.05672,0.97623,0.9872,0.13398,7.7794e-05,7.7794e-05,7.7794e-05
12,186.686,0.04025,0.97623,0.9872,0.11828,7.58734e-05,7.58734e-05,7.58734e-05
13,201.135,0.04169,0.97989,0.9872,0.12021,7.39528e-05,7.39528e-05,7.39528e-05
14,215.556,0.03608,0.97989,0.98537,0.10529,7.20322e-05,7.20322e-05,7.20322e-05
15,230.113,0.02976,0.97989,0.98537,0.10841,7.01116e-05,7.01116e-05,7.01116e-05
16,244.574,0.03342,0.97806,0.98355,0.11133,6.8191e-05,6.8191e-05,6.8191e-05
17,259.009,0.03123,0.98355,0.9872,0.1011,6.62704e-05,6.62704e-05,6.62704e-05
18,274.078,0.022,0.97989,0.98537,0.10423,6.43498e-05,6.43498e-05,6.43498e-05
19,288.632,0.02182,0.97989,0.9872,0.10793,6.24292e-05,6.24292e-05,6.24292e-05
20,303.232,0.02241,0.97989,0.9872,0.11627,6.05086e-05,6.05086e-05,6.05086e-05
21,317.811,0.01859,0.97989,0.9872,0.10319,5.8588e-05,5.8588e-05,5.8588e-05
22,332.351,0.01899,0.97806,0.98537,0.11732,5.66674e-05,5.66674e-05,5.66674e-05
23,346.856,0.01945,0.97989,0.9872,0.11205,5.47468e-05,5.47468e-05,5.47468e-05
24,361.262,0.01639,0.97989,0.98903,0.09934,5.28262e-05,5.28262e-05,5.28262e-05
25,375.745,0.01777,0.98172,0.98903,0.10613,5.09056e-05,5.09056e-05,5.09056e-05
26,390.251,0.01738,0.97989,0.9872,0.09866,4.8985e-05,4.8985e-05,4.8985e-05
27,404.414,0.01311,0.97989,0.9872,0.09728,4.70644e-05,4.70644e-05,4.70644e-05
