epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,42.1999,3.18211,0.81901,0.93419,1.04009,0.0670635,0.000132275,0.000132275
2,75.5975,0.78194,0.93784,0.97258,0.30333,0.0338613,0.000263417,0.000263417
3,106.234,0.34745,0.94698,0.97806,0.21643,0.00065691,0.000392359,0.000392359
4,137.099,0.2332,0.95795,0.98172,0.20411,0.0003901,0.0003901,0.0003901
5,167.435,0.19103,0.94516,0.97989,0.23774,0.0003868,0.0003868,0.0003868
6,197.886,0.13954,0.95247,0.97806,0.23022,0.0003835,0.0003835,0.0003835
7,228.133,0.15556,0.9543,0.97623,0.2201,0.0003802,0.0003802,0.0003802
8,258.497,0.09489,0.95978,0.98537,0.15997,0.0003769,0.0003769,0.0003769
9,289.927,0.10662,0.96709,0.98903,0.18106,0.0003736,0.0003736,0.0003736
10,321.425,0.10746,0.94881,0.98172,0.20001,0.0003703,0.0003703,0.0003703
11,351.565,0.07879,0.95795,0.9872,0.18545,0.000367,0.000367,0.000367
12,382.044,0.05914,0.95612,0.98537,0.215,0.0003637,0.0003637,0.0003637
13,412.233,0.0772,0.95247,0.97806,0.21291,0.0003604,0.0003604,0.0003604
14,442.422,0.07207,0.95612,0.97623,0.20198,0.0003571,0.0003571,0.0003571
15,472.717,0.05351,0.95612,0.98537,0.16965,0.0003538,0.0003538,0.0003538
16,502.99,0.05474,0.97075,0.9872,0.13348,0.0003505,0.0003505,0.0003505
17,533.36,0.05909,0.97075,0.9872,0.16949,0.0003472,0.0003472,0.0003472
18,564.55,0.05505,0.95612,0.9872,0.21013,0.0003439,0.0003439,0.0003439
19,594.78,0.03747,0.96161,0.99086,0.21155,0.0003406,0.0003406,0.0003406
20,625.061,0.04818,0.95978,0.98537,0.20785,0.0003373,0.0003373,0.0003373
21,655.299,0.03883,0.95795,0.98355,0.16966,0.000334,0.000334,0.000334
22,685.552,0.04958,0.97258,0.9872,0.12415,0.0003307,0.0003307,0.0003307
23,716.148,0.05289,0.96344,0.9872,0.17748,0.0003274,0.0003274,0.0003274
24,746.447,0.04492,0.96344,0.98355,0.16312,0.0003241,0.0003241,0.0003241
25,776.562,0.04589,0.96344,0.98537,0.19543,0.0003208,0.0003208,0.0003208
26,807.06,0.03992,0.96527,0.98537,0.1635,0.0003175,0.0003175,0.0003175
27,837.351,0.03195,0.96527,0.9872,0.19288,0.0003142,0.0003142,0.0003142
28,867.671,0.04723,0.95978,0.9872,0.18738,0.0003109,0.0003109,0.0003109
29,897.776,0.03369,0.95978,0.98172,0.19315,0.0003076,0.0003076,0.0003076
30,927.866,0.02982,0.95064,0.98355,0.23017,0.0003043,0.0003043,0.0003043
31,958.169,0.04971,0.95795,0.98355,0.23473,0.000301,0.000301,0.000301
