epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.17634,3.03113,0.35385,0.72308,2.31738,7.7e-05,7.7e-05,7.7e-05
2,17.9937,1.83623,0.86154,0.92308,0.51715,0.000156548,0.000156548,0.000156548
3,23.753,0.57573,0.89231,0.98462,1.25366,0.000234761,0.000234761,0.000234761
4,29.4305,0.15375,0.93846,0.98462,0.72375,0.000311641,0.000311641,0.000311641
5,34.8939,0.04215,0.95385,0.98462,0.11882,0.000372295,0.000372295,0.000372295
6,40.2576,0.03706,0.95385,0.98462,0.10587,0.000369119,0.000369119,0.000369119
7,45.3647,0.02912,0.95385,0.98462,0.10432,0.000365942,0.000365942,0.000365942
8,50.6947,0.02732,0.93846,0.98462,0.13675,0.000362766,0.000362766,0.000362766
9,55.7422,0.03285,0.95385,0.98462,0.08949,0.00035959,0.00035959,0.00035959
10,60.9031,0.03683,0.92308,0.98462,0.12432,0.000356414,0.000356414,0.000356414
11,65.885,0.04837,0.87692,0.98462,0.14781,0.000353237,0.000353237,0.000353237
12,70.9817,0.03783,0.93846,0.98462,0.3587,0.000350061,0.000350061,0.000350061
13,76.0325,0.05585,0.92308,0.98462,0.13017,0.000346885,0.000346885,0.000346885
14,81.1916,0.05594,0.86154,1,0.20634,0.000343709,0.000343709,0.000343709
15,86.2897,0.03373,0.86154,0.98462,0.28107,0.000340532,0.000340532,0.000340532
16,91.3944,0.03093,0.89231,0.98462,0.15602,0.000337356,0.000337356,0.000337356
17,96.4353,0.02711,0.92308,0.98462,0.16013,0.00033418,0.00033418,0.00033418
18,101.555,0.0418,0.92308,0.96923,0.17664,0.000331004,0.000331004,0.000331004
19,106.524,0.03228,0.90769,0.96923,0.21222,0.000327827,0.000327827,0.000327827
20,111.644,0.0375,0.92308,0.96923,0.14322,0.000324651,0.000324651,0.000324651
21,116.651,0.02579,0.92308,0.96923,0.15172,0.000321475,0.000321475,0.000321475
22,121.796,0.02071,0.87692,0.96923,2.04517,0.000318299,0.000318299,0.000318299
23,126.828,0.01806,0.89231,0.96923,0.19593,0.000315122,0.000315122,0.000315122
24,131.918,0.02887,0.87692,0.95385,0.21045,0.000311946,0.000311946,0.000311946
25,136.935,0.01295,0.89231,0.96923,0.18728,0.00030877,0.00030877,0.00030877
