epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,41.8255,3.69922,0.22595,0.37901,3.68501,5.98684e-05,5.98684e-05,5.98684e-05
2,85.3069,2.38218,0.38047,0.46064,3.84446,0.000119342,0.000119342,0.000119342
3,125.816,0.71924,0.3863,0.4621,4.81001,0.000177614,0.000177614,0.000177614
4,166.935,0.21732,0.3863,0.45481,5.39382,0.000176595,0.000176595,0.000176595
5,207.956,0.15897,0.3863,0.45918,5.90803,0.000174793,0.000174793,0.000174793
6,251.568,0.12542,0.3863,0.44606,6.16229,0.000172991,0.000172991,0.000172991
7,292.708,0.10512,0.3863,0.4344,6.1733,0.000171189,0.000171189,0.000171189
8,332.747,0.0944,0.3863,0.45627,6.25213,0.000169387,0.000169387,0.000169387
9,373.694,0.09123,0.3863,0.44898,6.32528,0.000167586,0.000167586,0.000167586
10,414.145,0.07206,0.3863,0.45773,6.50533,0.000165784,0.000165784,0.000165784
11,454.973,0.07127,0.3863,0.46793,6.42188,0.000163982,0.000163982,0.000163982
12,496.494,0.07208,0.3863,0.45773,6.68075,0.00016218,0.00016218,0.00016218
13,537.281,0.07798,0.3863,0.44606,6.84411,0.000160378,0.000160378,0.000160378
14,577.658,0.06893,0.3863,0.45044,6.76598,0.000158577,0.000158577,0.000158577
15,617.613,0.07061,0.3863,0.45773,6.96342,0.000156775,0.000156775,0.000156775
16,657.885,0.06825,0.3863,0.45335,7.16477,0.000154973,0.000154973,0.000154973
17,698.55,0.07374,0.3863,0.4344,7.08771,0.000153171,0.000153171,0.000153171
18,739.208,0.06018,0.3863,0.4519,7.01953,0.000151369,0.000151369,0.000151369
19,779.396,0.05521,0.3863,0.4519,6.99645,0.000149568,0.000149568,0.000149568
20,820.733,0.05603,0.3863,0.44898,7.16229,0.000147766,0.000147766,0.000147766
21,861.659,0.05702,0.3863,0.43732,7.18928,0.000145964,0.000145964,0.000145964
22,902.882,0.05173,0.3863,0.45627,7.26634,0.000144162,0.000144162,0.000144162
23,944.071,0.05527,0.3863,0.44898,7.55682,0.00014236,0.00014236,0.00014236
24,984.758,0.05625,0.38192,0.44315,7.66477,0.000140559,0.000140559,0.000140559
25,1024.59,0.05611,0.38484,0.44752,7.63636,0.000138757,0.000138757,0.000138757
26,1065.34,0.0505,0.38338,0.43878,7.62287,0.000136955,0.000136955,0.000136955
27,1105.89,0.04608,0.3863,0.45335,7.70455,0.000135153,0.000135153,0.000135153
28,1146.14,0.05153,0.3863,0.44898,7.8157,0.000133351,0.000133351,0.000133351
29,1186.7,0.05359,0.38338,0.44169,7.77841,0.00013155,0.00013155,0.00013155
30,1227.27,0.04875,0.38192,0.44169,7.6669,0.000129748,0.000129748,0.000129748
31,1267.57,0.04678,0.38338,0.43732,7.87216,0.000127946,0.000127946,0.000127946
32,1307.91,0.04767,0.36735,0.44461,7.89879,0.000126144,0.000126144,0.000126144
33,1348.67,0.04663,0.37609,0.43294,7.68857,0.000124342,0.000124342,0.000124342
34,1389.14,0.04662,0.38338,0.44023,7.72869,0.000122541,0.000122541,0.000122541
35,1429.49,0.04239,0.38192,0.44315,7.92933,0.000120739,0.000120739,0.000120739
36,1469.6,0.04513,0.38192,0.44752,8.10795,0.000118937,0.000118937,0.000118937
37,1510.01,0.04157,0.38047,0.44169,8.14773,0.000117135,0.000117135,0.000117135
38,1550.22,0.04399,0.38192,0.44606,8.08913,0.000115333,0.000115333,0.000115333
39,1590.98,0.04244,0.38484,0.44898,8.0767,0.000113532,0.000113532,0.000113532
40,1631.29,0.05034,0.38338,0.43878,8.25781,0.00011173,0.00011173,0.00011173
41,1671.55,0.04337,0.38192,0.44898,8.19105,0.000109928,0.000109928,0.000109928
